Topic,Question Type,Paragraph,Question Text,Answer Options,Correct Answer,,Keyword
مرادف,MCQ,"تُعدُّ مدينة البتراء مدينة تاريخيّة أثريّة في الأردن، حيث أنشأها الأنباط قديمًا، واتَّخذوها عاصمة لدولتهم، 
        وقد جرى اكتشافها في عام 1812م على يد الـمُكتشِف السويسريّ ""يوهان بوركهارت"".  تتميّز البتراء بكونها تُحفة رائعة، منحوتةً في الجبال الصحراويّة 
        التي تتكوَّن من الحجر الرمليّ ذي اللون الورديّ، وهو ما جعلها أهمّ المناطق جَذبًا للسيّاح في الأردن، كما أنَّها تُمثِّل واحدة من أشهر وأهمّ المناطق التراثيّة في العالَم.
        مثَّلت البتراء قديمًا موطنًا للأنباط الذين جعلوا منها مركزًا للقوافل التجاريّة؛ فقد سيطر الأنباط على تجارة البضائع القادمة من الصين، والهند، والجزيرة العربيّة، 
        حيث اشتملت هذه البضائع على العطور، والبهارات، والحرير، والذي ساهم في توسُّع دولة الأنباط، وتحقيق الازدهار المادّي، والاكتفاء الذاتيّ، وهذا ما حافظ على هويّتهم، 
        وجعلهم قادرين على مُواجهة الحضارة اليونانيّة التي غَزَت المناطق الـمُحيطة، ومع مرور الوقت، تمكَّن الأنباط من إحكام سيطرتهم التجاريّة على المنطقة الواقعة بين دمشق، 
        وشمال الجزيرة العربيّة، وذلك في فترة حُكم الملك الحارث الرابع (سنة 9 قبل الميلاد-40ميلادي)، وممّا يجدر ذِكره أنّ هذه الفترة تُعتبَر من أكثر فترات عَهد الأنباط ازدهارًا، 
        إلّا أنّ المدينة الورديّة سرعان ما فقدت مكانتها، وأهمّيتها بعد أن حوَّلت الروم طريق التجارة.  

        لقد أثرت الكوارث الطبيعيّة بشكل كبير على مدينة البتراء، ومع دخول الصليبيّين إلى المنطقة، تحسّنت أوضاع مدينة البتراء؛ حيث تمّ بناء بعض القِلاع الصليبيّة على الجبال المحيطة في البتراء، 
        ولم يَدم ذلك طويلًا؛ إذ دخلها صلاح الدين الأيّوبي فاتحًا، ممّا أدّى إلى خروج الصليبيّين منها، وعلى الرغم من أنّ البتراء هُجِرت، وأصبحت خالية من السكّان لعدّة قرون، 
        إلّا أنّه تمّ اكتشافها مرّة أخرى في عام 1812م، وفي عام 1985م، أصبحت المدينة الورديّة ضمن لائحة التراث العالَميّ في مُنظَّمة اليونسكو.","ما معنى كلمة ""ساهم"" ؟.",أ. رفع.؛ ب. ساعد.؛ ج. قاتل.؛ د. شجّع.,No correct answer,,
مضاد,MCQ,No paragraph,"ما ضد كلمة "" سيطر"" ؟.",أ. تحكّم.؛ ب. أخضع.؛ ج. أعطى الحرية.؛ د. أحسن التصرف.,No correct answer,,
استيعاب النص,MCQ,No paragraph,متى تمّ العثور على البتراء؟.,أ. سنة 1985م.؛ ب. سنة 1812م.؛ ج. سنة 2016م.؛ د. سنة 9 قبل الميلاد.,No correct answer,,
استيعاب النص,MCQ,No paragraph,ما دور الأنباط في مدينة البتراء قديما؟ I.تأسيس مدينة البتراء. II.جعلها أهم المناطق السياحية. III.جعلها مركز القوافل التجارية. IV.بناء حضارتها ومكانتها.,"أ. iv&ii,i.؛ ب. iii&ii,i.؛ ج. iv&ii,i؛ د. iv& iii,i.",No correct answer,,
استيعاب النص,MCQ,No paragraph,ما الذي سبّب فقدان البتراء مكانتها وحضارتها؟.,أ. دخول الصليبيين.؛ ب. الحضارة اليونانية.؛ج. تحوّل طريق التجارة.؛ د. دخول صلاح الدين الأيوبي.,No correct answer,,
استيعاب النص,MCQ,No paragraph,من الذي أرجع للبتراء وضعها للأحسن؟.,أ. الصليبيين.؛ ب. الملك الحرث الرابع.؛ ج. صلاح الدين الأيوبي.؛ د. الرحالة السويسري يوهان بوركهارت الميلاد.,No correct answer,,
استيعاب النص,MCQ,No paragraph,عدد الوفيات بسبب التدخين في سنة 2015.,أ. مليار شخص.؛ ب. 933 شخص.؛ ج. 2005 شخص.؛ د. 6.4 مليون شخص.,No correct answer,,
استيعاب النص,MCQ,No paragraph,أكثر معدلات الوفيات بسبب التدخين في .,أ. الهند.؛ ب. روسيا.؛ ج. الصين.؛ د. الولايات المتحدة.,No correct answer,,
استيعاب النص,MCQ,No paragraph,من بين 1/10 من الوفيات بسبب.,أ. ارتفاع ضغط.؛ ب. الوفاة المبكر .؛ ج. التدخين.؛ د. العجز.,No correct answer,,
استيعاب النص,MCQ,No paragraph,تشير الصورة إلى .,أ. أكثر الدول سكانا في العالم.؛ ب. نتيجة دراسة عن عدد الوفيات .؛ ج. نتيجة دراسة عن أسباب الوفيات.؛ د. الدول ذات أعلى معدلات الوفيات.,No correct answer,,
